building_1,location_1,location_2,building_2,assignment
1001,2001,3001,4001,17.43
1001,2001,3001,4002,3.3
1001,2001,3001,4003,3.78
1001,2001,3001,4007,1.05
1001,2001,3001,4008,0.58
1001,2001,3001,4009,0.18
1001,2001,3002,4005,3.28
1001,2001,3005,4010,4.29
1001,2001,3005,4011,4.31
1001,2001,3005,4012,1.86
1001,2001,3006,4004,1.63
1001,2001,3006,4006,1.8
1002,2001,3001,4001,116.25
1002,2001,3001,4002,22.02
1002,2001,3001,4003,25.2
1002,2001,3001,4007,7.0
1002,2001,3001,4008,3.89
1002,2001,3001,4009,1.19
1002,2001,3002,4005,21.87
1002,2001,3005,4010,28.27
1002,2001,3005,4011,28.48
1002,2001,3005,4012,12.289999999999997
1002,2001,3006,4004,10.85
1002,2001,3006,4006,12.029999999999998
1003,2001,3001,4001,161.16
1003,2001,3001,4002,30.53
1003,2001,3001,4003,34.94
1003,2001,3001,4007,9.7
1003,2001,3001,4008,5.39
1003,2001,3001,4009,1.65
1003,2001,3002,4005,30.32
1003,2001,3005,4010,39.42
1003,2001,3005,4011,39.71
1003,2001,3005,4012,17.13
1003,2001,3006,4004,15.039999999999997
1003,2001,3006,4006,16.67
1004,2001,3001,4001,94.2
1004,2001,3001,4002,17.85
1004,2001,3001,4003,20.42
1004,2001,3001,4007,5.67
1004,2001,3001,4008,3.15
1004,2001,3001,4009,0.96
1004,2001,3002,4005,17.73
1004,2001,3005,4010,23.18
1004,2001,3005,4011,23.35
1004,2001,3005,4012,10.08
1004,2001,3006,4004,8.79
1004,2001,3006,4006,9.75
1005,2001,3001,4001,95.07
1005,2001,3001,4002,18.01
1005,2001,3001,4003,20.61
1005,2001,3001,4007,5.72
1005,2001,3001,4008,3.18
1005,2001,3001,4009,0.97
1005,2001,3002,4005,17.889999999999997
1005,2001,3005,4010,23.26
1005,2001,3005,4011,23.43
1005,2001,3005,4012,10.11
1005,2001,3006,4004,8.87
1005,2001,3006,4006,9.84
1006,2001,3001,4001,102.99
1006,2001,3001,4002,19.509999999999998
1006,2001,3001,4003,22.33
1006,2001,3001,4007,6.2
1006,2001,3001,4008,3.45
1006,2001,3001,4009,1.05
1006,2001,3002,4005,19.37
1006,2001,3005,4010,25.35
1006,2001,3005,4011,25.539999999999996
1006,2001,3005,4012,11.02
1006,2001,3006,4004,9.61
1006,2001,3006,4006,10.65
1007,2003,3001,4001,106.36
1007,2003,3001,4002,20.15
1007,2003,3001,4003,23.06
1007,2003,3001,4007,6.39
1007,2003,3001,4008,3.56
1007,2003,3001,4009,1.09
1007,2003,3002,4005,20.0
1007,2003,3005,4010,26.18
1007,2003,3005,4011,26.38
1007,2003,3005,4012,11.38
1007,2003,3006,4004,9.92
1007,2003,3006,4006,11.0
1008,2003,3001,4001,111.76
1008,2003,3001,4002,21.17
1008,2003,3001,4003,24.22
1008,2003,3001,4007,6.7
1008,2003,3001,4008,3.73
1008,2003,3001,4009,1.14
1008,2003,3002,4005,21.0
1008,2003,3005,4010,27.52
1008,2003,3005,4011,27.73
1008,2003,3005,4012,11.97
1008,2003,3006,4004,10.42
1008,2003,3006,4006,11.56
1009,2003,3001,4001,114.54
1009,2003,3001,4002,21.7
1009,2003,3001,4003,24.82
1009,2003,3001,4007,6.86
1009,2003,3001,4008,3.8199999999999994
1009,2003,3001,4009,1.16
1009,2003,3002,4005,21.51
1009,2003,3005,4010,28.2
1009,2003,3005,4011,28.42
1009,2003,3005,4012,12.28
1009,2003,3006,4004,10.67
1009,2003,3006,4006,11.85
1010,2003,3001,4001,48.28
1010,2003,3001,4002,9.15
1010,2003,3001,4003,10.46
1010,2003,3001,4007,2.89
1010,2003,3001,4008,1.61
1010,2003,3001,4009,0.48999999999999994
1010,2003,3002,4005,9.06
1010,2003,3005,4010,10.82
1010,2003,3005,4011,10.9
1010,2003,3005,4012,4.7
1010,2003,3006,4004,4.5
1010,2003,3006,4006,5.0
1011,2003,3001,4001,52.47
1011,2003,3001,4002,9.94
1011,2003,3001,4003,11.38
1011,2003,3001,4007,3.17
1011,2003,3001,4008,1.76
1011,2003,3001,4009,0.54
1011,2003,3002,4005,9.88
1011,2003,3005,4010,12.91
1011,2003,3005,4011,13.0
1011,2003,3005,4012,5.61
1011,2003,3006,4004,4.9
1011,2003,3006,4006,5.43
1012,2005,3001,4001,16.86
1012,2005,3001,4002,3.19
1012,2005,3001,4003,3.66
1012,2005,3001,4007,1.02
1012,2005,3001,4008,0.57
1012,2005,3001,4009,0.17
1012,2005,3002,4005,3.18
1012,2005,3005,4010,4.14
1012,2005,3005,4011,4.17
1012,2005,3005,4012,1.79
1012,2005,3006,4004,1.58
1012,2005,3006,4006,1.74
