agent_id,origin_node_id,destination_node_id,customized_cost_link_type,customized_cost_link_value
1,1001,4001,1,0
2,1001,4002,1,6
3,1001,4003,1,10
4,1001,4004,1,2
5,1001,4005,1,1
6,1001,4006,1,6
7,1001,4007,1,3
8,1001,4008,1,8
9,1001,4009,1,7
10,1001,4010,1,3
11,1001,4011,1,8
12,1001,4012,1,7
13,1001,4013,1,5
14,1001,4014,1,5
15,1001,4015,1,6
16,1001,4016,1,4
17,1001,4017,1,7
18,1001,4018,1,1
19,1001,4019,1,3
20,1001,4020,1,6
21,1002,4001,1,9
22,1002,4002,1,0
23,1002,4003,1,7
24,1002,4004,1,6
25,1002,4005,1,6
26,1002,4006,1,0
27,1002,4007,1,0
28,1002,4008,1,1
29,1002,4009,1,1
30,1002,4010,1,6
31,1002,4011,1,6
32,1002,4012,1,3
33,1002,4013,1,7
34,1002,4014,1,9
35,1002,4015,1,7
36,1002,4016,1,1
37,1002,4017,1,7
38,1002,4018,1,2
39,1002,4019,1,4
40,1002,4020,1,10
41,1003,4001,1,7
42,1003,4002,1,4
43,1003,4003,1,0
44,1003,4004,1,8
45,1003,4005,1,4
46,1003,4006,1,4
47,1003,4007,1,9
48,1003,4008,1,0
49,1003,4009,1,6
50,1003,4010,1,2
51,1003,4011,1,2
52,1003,4012,1,10
53,1003,4013,1,3
54,1003,4014,1,8
55,1003,4015,1,2
56,1003,4016,1,4
57,1003,4017,1,6
58,1003,4018,1,0
59,1003,4019,1,9
60,1003,4020,1,6
61,1004,4001,1,8
62,1004,4002,1,2
63,1004,4003,1,1
64,1004,4004,1,0
65,1004,4005,1,2
66,1004,4006,1,10
67,1004,4007,1,5
68,1004,4008,1,1
69,1004,4009,1,8
70,1004,4010,1,8
71,1004,4011,1,9
72,1004,4012,1,7
73,1004,4013,1,4
74,1004,4014,1,3
75,1004,4015,1,9
76,1004,4016,1,9
77,1004,4017,1,3
78,1004,4018,1,1
79,1004,4019,1,10
80,1004,4020,1,1
81,1005,4001,1,4
82,1005,4002,1,7
83,1005,4003,1,9
84,1005,4004,1,1
85,1005,4005,1,0
86,1005,4006,1,9
87,1005,4007,1,6
88,1005,4008,1,9
89,1005,4009,1,6
90,1005,4010,1,1
91,1005,4011,1,5
92,1005,4012,1,5
93,1005,4013,1,4
94,1005,4014,1,1
95,1005,4015,1,10
96,1005,4016,1,1
97,1005,4017,1,6
98,1005,4018,1,5
99,1005,4019,1,0
100,1005,4020,1,9
101,1006,4001,1,8
102,1006,4002,1,6
103,1006,4003,1,10
104,1006,4004,1,3
105,1006,4005,1,6
106,1006,4006,1,0
107,1006,4007,1,8
108,1006,4008,1,0
109,1006,4009,1,0
110,1006,4010,1,1
111,1006,4011,1,2
112,1006,4012,1,1
113,1006,4013,1,0
114,1006,4014,1,6
115,1006,4015,1,0
116,1006,4016,1,0
117,1006,4017,1,7
118,1006,4018,1,6
119,1006,4019,1,5
120,1006,4020,1,7
121,1007,4001,1,1
122,1007,4002,1,6
123,1007,4003,1,2
124,1007,4004,1,9
125,1007,4005,1,5
126,1007,4006,1,5
127,1007,4007,1,0
128,1007,4008,1,4
129,1007,4009,1,9
130,1007,4010,1,0
131,1007,4011,1,2
132,1007,4012,1,2
133,1007,4013,1,5
134,1007,4014,1,1
135,1007,4015,1,4
136,1007,4016,1,7
137,1007,4017,1,2
138,1007,4018,1,6
139,1007,4019,1,3
140,1007,4020,1,10
141,1008,4001,1,9
142,1008,4002,1,6
143,1008,4003,1,9
144,1008,4004,1,8
145,1008,4005,1,8
146,1008,4006,1,1
147,1008,4007,1,10
148,1008,4008,1,0
149,1008,4009,1,10
150,1008,4010,1,5
151,1008,4011,1,1
152,1008,4012,1,2
153,1008,4013,1,5
154,1008,4014,1,3
155,1008,4015,1,6
156,1008,4016,1,8
157,1008,4017,1,7
158,1008,4018,1,10
159,1008,4019,1,8
160,1008,4020,1,0
161,1009,4001,1,1
162,1009,4002,1,4
163,1009,4003,1,10
164,1009,4004,1,4
165,1009,4005,1,3
166,1009,4006,1,7
167,1009,4007,1,0
168,1009,4008,1,9
169,1009,4009,1,0
170,1009,4010,1,9
171,1009,4011,1,3
172,1009,4012,1,1
173,1009,4013,1,2
174,1009,4014,1,3
175,1009,4015,1,0
176,1009,4016,1,9
177,1009,4017,1,6
178,1009,4018,1,2
179,1009,4019,1,9
180,1009,4020,1,3
181,1010,4001,1,5
182,1010,4002,1,8
183,1010,4003,1,4
184,1010,4004,1,6
185,1010,4005,1,1
186,1010,4006,1,6
187,1010,4007,1,10
188,1010,4008,1,0
189,1010,4009,1,4
190,1010,4010,1,0
191,1010,4011,1,9
192,1010,4012,1,4
193,1010,4013,1,8
194,1010,4014,1,0
195,1010,4015,1,10
196,1010,4016,1,4
197,1010,4017,1,6
198,1010,4018,1,8
199,1010,4019,1,8
200,1010,4020,1,7
201,1011,4001,1,9
202,1011,4002,1,1
203,1011,4003,1,7
204,1011,4004,1,5
205,1011,4005,1,2
206,1011,4006,1,3
207,1011,4007,1,1
208,1011,4008,1,4
209,1011,4009,1,8
210,1011,4010,1,8
211,1011,4011,1,1
212,1011,4012,1,6
213,1011,4013,1,4
214,1011,4014,1,6
215,1011,4015,1,8
216,1011,4016,1,2
217,1011,4017,1,10
218,1011,4018,1,10
219,1011,4019,1,0
220,1011,4020,1,5
221,1012,4001,1,9
222,1012,4002,1,6
223,1012,4003,1,10
224,1012,4004,1,9
225,1012,4005,1,1
226,1012,4006,1,2
227,1012,4007,1,1
228,1012,4008,1,7
229,1012,4009,1,5
230,1012,4010,1,6
231,1012,4011,1,5
232,1012,4012,1,0
233,1012,4013,1,6
234,1012,4014,1,8
235,1012,4015,1,5
236,1012,4016,1,5
237,1012,4017,1,4
238,1012,4018,1,10
239,1012,4019,1,9
240,1012,4020,1,7
241,1013,4001,1,1
242,1013,4002,1,0
243,1013,4003,1,0
244,1013,4004,1,6
245,1013,4005,1,8
246,1013,4006,1,8
247,1013,4007,1,4
248,1013,4008,1,4
249,1013,4009,1,7
250,1013,4010,1,9
251,1013,4011,1,4
252,1013,4012,1,3
253,1013,4013,1,0
254,1013,4014,1,3
255,1013,4015,1,3
256,1013,4016,1,10
257,1013,4017,1,10
258,1013,4018,1,1
259,1013,4019,1,3
260,1013,4020,1,10
261,1014,4001,1,10
262,1014,4002,1,9
263,1014,4003,1,10
264,1014,4004,1,7
265,1014,4005,1,2
266,1014,4006,1,0
267,1014,4007,1,5
268,1014,4008,1,5
269,1014,4009,1,2
270,1014,4010,1,4
271,1014,4011,1,8
272,1014,4012,1,10
273,1014,4013,1,1
274,1014,4014,1,0
275,1014,4015,1,6
276,1014,4016,1,0
277,1014,4017,1,3
278,1014,4018,1,10
279,1014,4019,1,6
280,1014,4020,1,6
281,1015,4001,1,2
282,1015,4002,1,7
283,1015,4003,1,9
284,1015,4004,1,7
285,1015,4005,1,3
286,1015,4006,1,4
287,1015,4007,1,8
288,1015,4008,1,1
289,1015,4009,1,7
290,1015,4010,1,4
291,1015,4011,1,8
292,1015,4012,1,2
293,1015,4013,1,0
294,1015,4014,1,7
295,1015,4015,1,0
296,1015,4016,1,4
297,1015,4017,1,0
298,1015,4018,1,8
299,1015,4019,1,6
300,1015,4020,1,8
301,1016,4001,1,10
302,1016,4002,1,8
303,1016,4003,1,2
304,1016,4004,1,4
305,1016,4005,1,9
306,1016,4006,1,2
307,1016,4007,1,8
308,1016,4008,1,8
309,1016,4009,1,2
310,1016,4010,1,4
311,1016,4011,1,1
312,1016,4012,1,2
313,1016,4013,1,4
314,1016,4014,1,0
315,1016,4015,1,5
316,1016,4016,1,0
317,1016,4017,1,2
318,1016,4018,1,1
319,1016,4019,1,4
320,1016,4020,1,2
321,1017,4001,1,5
322,1017,4002,1,2
323,1017,4003,1,6
324,1017,4004,1,8
325,1017,4005,1,7
326,1017,4006,1,6
327,1017,4007,1,3
328,1017,4008,1,9
329,1017,4009,1,5
330,1017,4010,1,4
331,1017,4011,1,2
332,1017,4012,1,1
333,1017,4013,1,7
334,1017,4014,1,2
335,1017,4015,1,6
336,1017,4016,1,10
337,1017,4017,1,0
338,1017,4018,1,8
339,1017,4019,1,7
340,1017,4020,1,7
341,1018,4001,1,7
342,1018,4002,1,7
343,1018,4003,1,3
344,1018,4004,1,8
345,1018,4005,1,5
346,1018,4006,1,1
347,1018,4007,1,6
348,1018,4008,1,9
349,1018,4009,1,2
350,1018,4010,1,1
351,1018,4011,1,10
352,1018,4012,1,5
353,1018,4013,1,4
354,1018,4014,1,2
355,1018,4015,1,8
356,1018,4016,1,1
357,1018,4017,1,4
358,1018,4018,1,0
359,1018,4019,1,3
360,1018,4020,1,2
361,1019,4001,1,1
362,1019,4002,1,2
363,1019,4003,1,10
364,1019,4004,1,7
365,1019,4005,1,3
366,1019,4006,1,4
367,1019,4007,1,5
368,1019,4008,1,9
369,1019,4009,1,2
370,1019,4010,1,6
371,1019,4011,1,1
372,1019,4012,1,9
373,1019,4013,1,10
374,1019,4014,1,6
375,1019,4015,1,10
376,1019,4016,1,6
377,1019,4017,1,3
378,1019,4018,1,4
379,1019,4019,1,0
380,1019,4020,1,1
381,1020,4001,1,6
382,1020,4002,1,1
383,1020,4003,1,9
384,1020,4004,1,0
385,1020,4005,1,0
386,1020,4006,1,1
387,1020,4007,1,6
388,1020,4008,1,6
389,1020,4009,1,1
390,1020,4010,1,2
391,1020,4011,1,7
392,1020,4012,1,4
393,1020,4013,1,8
394,1020,4014,1,4
395,1020,4015,1,2
396,1020,4016,1,7
397,1020,4017,1,4
398,1020,4018,1,4
399,1020,4019,1,4
400,1020,4020,1,0
