link_id,from_node_id,to_node_id,built_cost,trans_cost,link_type,acting_link_id,,,
1,1001,2001,36 ,0,2,1,,,72.57
2,1001,2002,42 ,0,2,2,,,84.06
3,1001,2003,52 ,0,2,3,,,103.28
4,1001,2004,22 ,0,2,4,,,43.66
5,1001,2005,30 ,0,2,5,,,60.88
6,1001,2006,43 ,0,2,6,,,85.48
7,1001,2007,9 ,0,2,7,,,18.6
8,1001,2008,23 ,0,2,8,,,46.32
9,1001,2009,38 ,0,2,9,,,75.8
10,1002,2001,29 ,0,2,10,,,58.6
11,1002,2002,27 ,0,2,11,,,53.24
12,1002,2003,32 ,0,2,12,,,63.51
13,1002,2004,17 ,0,2,13,,,33.97
14,1002,2005,12 ,0,2,14,,,23.54
15,1002,2006,21 ,0,2,15,,,41.88
16,1002,2007,13 ,0,2,16,,,25.96
17,1002,2008,4 ,0,2,17,,,8.6
18,1002,2009,18 ,0,2,18,,,35.69
19,1003,2001,38 ,0,2,19,,,75.64
20,1003,2002,25 ,0,2,20,,,49.82
21,1003,2003,16 ,0,2,21,,,32.28
22,1003,2004,35 ,0,2,22,,,69.01
23,1003,2005,20 ,0,2,23,,,39.01
24,1003,2006,5 ,0,2,24,,,9.06
25,1003,2007,37 ,0,2,25,,,74.85
26,1003,2008,24 ,0,2,26,,,48.6
27,1003,2009,15 ,0,2,27,,,30.36
28,1004,2001,17 ,0,2,28,,,34.01
29,1004,2002,7 ,0,2,29,,,14.04
30,1004,2003,16 ,0,2,30,,,32.2
31,1004,2004,27 ,0,2,31,,,53.82
32,1004,2005,22 ,0,2,32,,,44.01
33,1004,2006,26 ,0,2,33,,,52.7
34,1004,2007,40 ,0,2,34,,,80.23
35,1004,2008,37 ,0,2,35,,,74.01
36,1004,2009,40 ,0,2,36,,,79.48
37,1005,2001,23 ,0,2,37,,,46.17
38,1005,2002,10 ,0,2,38,,,19.8
39,1005,2003,11 ,0,2,39,,,21.26
40,1005,2004,23 ,0,2,40,,,46.82
41,1005,2005,11 ,0,2,41,,,21.26
42,1005,2006,11 ,0,2,42,,,22.63
43,1005,2007,32 ,0,2,43,,,63.66
44,1005,2008,24 ,0,2,44,,,48.08
45,1005,2009,24 ,0,2,45,,,48.7
46,1006,2001,4 ,0,2,46,,,7.62
47,1006,2002,17 ,0,2,47,,,33.73
48,1006,2003,32 ,0,2,48,,,63.39
49,1006,2004,19 ,0,2,49,,,37.12
50,1006,2005,25 ,0,2,50,,,49.58
51,1006,2006,37 ,0,2,51,,,73.06
52,1006,2007,34 ,0,2,52,,,67.07
53,1006,2008,37 ,0,2,53,,,74.69
54,1006,2009,46 ,0,2,54,,,91.97
55,1007,2001,33 ,0,2,55,,,66.71
56,1007,2002,19 ,0,2,56,,,38.08
57,1007,2003,8 ,0,2,57,,,15.81
58,1007,2004,40 ,0,2,58,,,79.06
59,1007,2005,29 ,0,2,59,,,57.01
60,1007,2006,23 ,0,2,60,,,45.28
61,1007,2007,50 ,0,2,61,,,99.25
62,1007,2008,41 ,0,2,62,,,82.76
63,1007,2009,38 ,0,2,63,,,75.17
64,1008,2001,26 ,0,2,64,,,52.15
65,1008,2002,31 ,0,2,65,,,62.13
66,1008,2003,41 ,0,2,66,,,82.46
67,1008,2004,11 ,0,2,67,,,22.36
68,1008,2005,20 ,0,2,68,,,40.5
69,1008,2006,34 ,0,2,69,,,67.68
70,1008,2007,4 ,0,2,70,,,8.94
71,1008,2008,17 ,0,2,71,,,34.93
72,1008,2009,32 ,0,2,72,,,64.5
73,1009,2001,30 ,0,2,73,,,60.73
74,1009,2002,30 ,0,2,74,,,59.23
75,1009,2003,36 ,0,2,75,,,71.61
76,1009,2004,17 ,0,2,76,,,33.29
77,1009,2005,15 ,0,2,77,,,30.46
78,1009,2006,25 ,0,2,78,,,50.48
79,1009,2007,9 ,0,2,79,,,18.11
80,1009,2008,6 ,0,2,80,,,12.17
81,1009,2009,21 ,0,2,81,,,42.05
82,1010,2001,4 ,0,2,82,,,8.25
83,1010,2002,16 ,0,2,83,,,32.98
84,1010,2003,31 ,0,2,84,,,62.51
85,1010,2004,11 ,0,2,85,,,22.09
86,1010,2005,19 ,0,2,86,,,38.83
87,1010,2006,33 ,0,2,87,,,65.79
88,1010,2007,26 ,0,2,88,,,52.04
89,1010,2008,31 ,0,2,89,,,61.06
90,1010,2009,40 ,0,2,90,,,80.92
91,1011,2001,35 ,0,2,91,,,69.43
92,1011,2002,41 ,0,2,92,,,80.99
93,1011,2003,50 ,0,2,93,,,100.5
94,1011,2004,20 ,0,2,94,,,40.5
95,1011,2005,29 ,0,2,95,,,58.14
96,1011,2006,42 ,0,2,96,,,83.19
97,1011,2007,8 ,0,2,97,,,16.12
98,1011,2008,22 ,0,2,98,,,44.72
99,1011,2009,37 ,0,2,99,,,74.43
100,1012,2001,6 ,0,2,100,,,12.17
101,1012,2002,9 ,0,2,101,,,18.11
102,1012,2003,24 ,0,2,102,,,48.04
103,1012,2004,15 ,0,2,103,,,30.46
104,1012,2005,17 ,0,2,104,,,33.29
105,1012,2006,28 ,0,2,105,,,55.57
106,1012,2007,30 ,0,2,106,,,59.23
107,1012,2008,30 ,0,2,107,,,60.73
108,1012,2009,38 ,0,2,108,,,75.29
109,1013,2001,25 ,0,2,109,,,49.25
110,1013,2002,10 ,0,2,110,,,19.65
111,1013,2003,6 ,0,2,111,,,12.08
112,1013,2004,30 ,0,2,112,,,60.22
113,1013,2005,20 ,0,2,113,,,39.82
114,1013,2006,18 ,0,2,114,,,36.69
115,1013,2007,41 ,0,2,115,,,81.4
116,1013,2008,34 ,0,2,116,,,67.72
117,1013,2009,33 ,0,2,117,,,65.92
118,1014,2001,25 ,0,2,118,,,49.09
119,1014,2002,30 ,0,2,119,,,59.08
120,1014,2003,40 ,0,2,120,,,79.81
121,1014,2004,10 ,0,2,121,,,19.24
