building_1,location_1,location_2,building_2,path
1001,2003,3003,4001,1.0
1001,2003,3003,4002,1.0
1001,2003,3003,4003,1.0
1001,2003,3003,4004,1.0
1001,2003,3003,4005,1.0
1001,2003,3003,4006,1.0
1001,2003,3003,4007,1.0
1001,2003,3003,4008,1.0
1001,2003,3003,4009,1.0
1001,2003,3003,4010,1.0
1001,2003,3003,4011,1.0
1001,2003,3003,4012,1.0
1001,2003,3003,4013,1.0
1001,2003,3003,4014,1.0
1001,2003,3003,4015,1.0
1001,2003,3003,4016,1.0
1001,2003,3003,4017,1.0
1001,2003,3003,4018,1.0
1001,2003,3003,4019,1.0
1001,2003,3003,4020,1.0
1001,2003,3003,4021,1.0
1001,2003,3003,4022,1.0
1001,2003,3003,4023,1.0
1001,2003,3003,4024,1.0
1001,2003,3003,4025,1.0
1001,2003,3003,4026,1.0
1001,2003,3003,4027,1.0
1001,2003,3003,4028,1.0
1001,2003,3003,4029,1.0
1001,2003,3003,4030,1.0
1002,2003,3003,4001,1.0
1002,2003,3003,4002,1.0
1002,2003,3003,4003,1.0
1002,2003,3003,4004,1.0
1002,2003,3003,4005,1.0
1002,2003,3003,4006,1.0
1002,2003,3003,4007,1.0
1002,2003,3003,4008,1.0
1002,2003,3003,4009,1.0
1002,2003,3003,4010,1.0
1002,2003,3003,4011,1.0
1002,2003,3003,4012,1.0
1002,2003,3003,4013,1.0
1002,2003,3003,4014,1.0
1002,2003,3003,4015,1.0
1002,2003,3003,4016,1.0
1002,2003,3003,4017,1.0
1002,2003,3003,4018,1.0
1002,2003,3003,4019,1.0
1002,2003,3003,4020,1.0
1002,2003,3003,4021,1.0
1002,2003,3003,4022,1.0
1002,2003,3003,4023,1.0
1002,2003,3003,4024,1.0
1002,2003,3003,4025,1.0
1002,2003,3003,4026,1.0
1002,2003,3003,4027,1.0
1002,2003,3003,4028,1.0
1002,2003,3003,4029,1.0
1002,2003,3003,4030,1.0
1003,2003,3003,4001,1.0
1003,2003,3003,4002,1.0
1003,2003,3003,4003,1.0
1003,2003,3003,4004,1.0
1003,2003,3003,4005,1.0
1003,2003,3003,4006,1.0
1003,2003,3003,4007,1.0
1003,2003,3003,4008,1.0
1003,2003,3003,4009,1.0
1003,2003,3003,4010,1.0
1003,2003,3003,4011,1.0
1003,2003,3003,4012,1.0
1003,2003,3003,4013,1.0
1003,2003,3003,4014,1.0
1003,2003,3003,4015,1.0
1003,2003,3003,4016,1.0
1003,2003,3003,4017,1.0
1003,2003,3003,4018,1.0
1003,2003,3003,4019,1.0
1003,2003,3003,4020,1.0
1003,2003,3003,4021,1.0
1003,2003,3003,4022,1.0
1003,2003,3003,4023,1.0
1003,2003,3003,4024,1.0
1003,2003,3003,4025,1.0
1003,2003,3003,4026,1.0
1003,2003,3003,4027,1.0
1003,2003,3003,4028,1.0
1003,2003,3003,4029,1.0
1003,2003,3003,4030,1.0
1004,2003,3003,4001,1.0
1004,2003,3003,4002,1.0
1004,2003,3003,4003,1.0
1004,2003,3003,4004,1.0
1004,2003,3003,4005,1.0
1004,2003,3003,4006,1.0
1004,2003,3003,4007,1.0
1004,2003,3003,4008,1.0
1004,2003,3003,4009,1.0
1004,2003,3003,4010,1.0
1004,2003,3003,4011,1.0
1004,2003,3003,4012,1.0
1004,2003,3003,4013,1.0
1004,2003,3003,4014,1.0
1004,2003,3003,4015,1.0
1004,2003,3003,4016,1.0
1004,2003,3003,4017,1.0
1004,2003,3003,4018,1.0
1004,2003,3003,4019,1.0
1004,2003,3003,4020,1.0
1004,2003,3003,4021,1.0
1004,2003,3003,4022,1.0
1004,2003,3003,4023,1.0
1004,2003,3003,4024,1.0
1004,2003,3003,4025,1.0
1004,2003,3003,4026,1.0
1004,2003,3003,4027,1.0
1004,2003,3003,4028,1.0
1004,2003,3003,4029,1.0
1004,2003,3003,4030,1.0
1005,2003,3003,4001,1.0
1005,2003,3003,4002,1.0
1005,2003,3003,4003,1.0
1005,2003,3003,4004,1.0
1005,2003,3003,4005,1.0
1005,2003,3003,4006,1.0
1005,2003,3003,4007,1.0
1005,2003,3003,4008,1.0
1005,2003,3003,4009,1.0
1005,2003,3003,4010,1.0
1005,2003,3003,4011,1.0
1005,2003,3003,4012,1.0
1005,2003,3003,4013,1.0
1005,2003,3003,4014,1.0
1005,2003,3003,4015,1.0
1005,2003,3003,4016,1.0
1005,2003,3003,4017,1.0
1005,2003,3003,4018,1.0
1005,2003,3003,4019,1.0
1005,2003,3003,4020,1.0
1005,2003,3003,4021,1.0
1005,2003,3003,4022,1.0
1005,2003,3003,4023,1.0
1005,2003,3003,4024,1.0
1005,2003,3003,4025,1.0
1005,2003,3003,4026,1.0
1005,2003,3003,4027,1.0
1005,2003,3003,4028,1.0
1005,2003,3003,4029,1.0
1005,2003,3003,4030,1.0
1006,2003,3003,4001,1.0
1006,2003,3003,4002,1.0
1006,2003,3003,4003,1.0
1006,2003,3003,4004,1.0
1006,2003,3003,4005,1.0
1006,2003,3003,4006,1.0
1006,2003,3003,4007,1.0
1006,2003,3003,4008,1.0
1006,2003,3003,4009,1.0
1006,2003,3003,4010,1.0
1006,2003,3003,4011,1.0
1006,2003,3003,4012,1.0
1006,2003,3003,4013,1.0
1006,2003,3003,4014,1.0
1006,2003,3003,4015,1.0
1006,2003,3003,4016,1.0
1006,2003,3003,4017,1.0
1006,2003,3003,4018,1.0
1006,2003,3003,4019,1.0
1006,2003,3003,4020,1.0
1006,2003,3003,4021,1.0
1006,2003,3003,4022,1.0
1006,2003,3003,4023,1.0
1006,2003,3003,4024,1.0
1006,2003,3003,4025,1.0
1006,2003,3003,4026,1.0
1006,2003,3003,4027,1.0
1006,2003,3003,4028,1.0
1006,2003,3003,4029,1.0
1006,2003,3003,4030,1.0
1007,2003,3003,4001,1.0
1007,2003,3003,4002,1.0
1007,2003,3003,4003,1.0
1007,2003,3003,4004,1.0
1007,2003,3003,4005,1.0
1007,2003,3003,4006,1.0
1007,2003,3003,4007,1.0
1007,2003,3003,4008,1.0
1007,2003,3003,4009,1.0
1007,2003,3003,4010,1.0
1007,2003,3003,4011,1.0
1007,2003,3003,4012,1.0
1007,2003,3003,4013,1.0
1007,2003,3003,4014,1.0
1007,2003,3003,4015,1.0
1007,2003,3003,4016,1.0
1007,2003,3003,4017,1.0
1007,2003,3003,4018,1.0
1007,2003,3003,4019,1.0
1007,2003,3003,4020,1.0
1007,2003,3003,4021,1.0
1007,2003,3003,4022,1.0
1007,2003,3003,4023,1.0
1007,2003,3003,4024,1.0
1007,2003,3003,4025,1.0
1007,2003,3003,4026,1.0
1007,2003,3003,4027,1.0
1007,2003,3003,4028,1.0
1007,2003,3003,4029,1.0
1007,2003,3003,4030,1.0
1008,2003,3003,4001,1.0
1008,2003,3003,4002,1.0
1008,2003,3003,4003,1.0
1008,2003,3003,4004,1.0
1008,2003,3003,4005,1.0
1008,2003,3003,4006,1.0
1008,2003,3003,4007,1.0
1008,2003,3003,4008,1.0
1008,2003,3003,4009,1.0
1008,2003,3003,4010,1.0
1008,2003,3003,4011,1.0
1008,2003,3003,4012,1.0
1008,2003,3003,4013,1.0
1008,2003,3003,4014,1.0
1008,2003,3003,4015,1.0
1008,2003,3003,4016,1.0
1008,2003,3003,4017,1.0
1008,2003,3003,4018,1.0
1008,2003,3003,4019,1.0
1008,2003,3003,4020,1.0
1008,2003,3003,4021,1.0
1008,2003,3003,4022,1.0
1008,2003,3003,4023,1.0
1008,2003,3003,4024,1.0
1008,2003,3003,4025,1.0
1008,2003,3003,4026,1.0
1008,2003,3003,4027,1.0
1008,2003,3003,4028,1.0
1008,2003,3003,4029,1.0
1008,2003,3003,4030,1.0
1009,2003,3003,4001,1.0
1009,2003,3003,4002,1.0
1009,2003,3003,4003,1.0
1009,2003,3003,4004,1.0
1009,2003,3003,4005,1.0
1009,2003,3003,4006,1.0
1009,2003,3003,4007,1.0
1009,2003,3003,4008,1.0
1009,2003,3003,4009,1.0
1009,2003,3003,4010,1.0
1009,2003,3003,4011,1.0
1009,2003,3003,4012,1.0
1009,2003,3003,4013,1.0
1009,2003,3003,4014,1.0
1009,2003,3003,4015,1.0
1009,2003,3003,4016,1.0
1009,2003,3003,4017,1.0
1009,2003,3003,4018,1.0
1009,2003,3003,4019,1.0
1009,2003,3003,4020,1.0
1009,2003,3003,4021,1.0
1009,2003,3003,4022,1.0
1009,2003,3003,4023,1.0
1009,2003,3003,4024,1.0
1009,2003,3003,4025,1.0
1009,2003,3003,4026,1.0
1009,2003,3003,4027,1.0
1009,2003,3003,4028,1.0
1009,2003,3003,4029,1.0
1009,2003,3003,4030,1.0
1010,2003,3003,4001,1.0
1010,2003,3003,4002,1.0
1010,2003,3003,4003,1.0
1010,2003,3003,4004,1.0
1010,2003,3003,4005,1.0
1010,2003,3003,4006,1.0
1010,2003,3003,4007,1.0
1010,2003,3003,4008,1.0
1010,2003,3003,4009,1.0
1010,2003,3003,4010,1.0
1010,2003,3003,4011,1.0
1010,2003,3003,4012,1.0
1010,2003,3003,4013,1.0
1010,2003,3003,4014,1.0
1010,2003,3003,4015,1.0
1010,2003,3003,4016,1.0
1010,2003,3003,4017,1.0
1010,2003,3003,4018,1.0
1010,2003,3003,4019,1.0
1010,2003,3003,4020,1.0
1010,2003,3003,4021,1.0
1010,2003,3003,4022,1.0
1010,2003,3003,4023,1.0
1010,2003,3003,4024,1.0
1010,2003,3003,4025,1.0
1010,2003,3003,4026,1.0
1010,2003,3003,4027,1.0
1010,2003,3003,4028,1.0
1010,2003,3003,4029,1.0
