building_2,location_2,assignment
4001,3001,1.0
4002,3001,1.0
4003,3001,1.0
4004,3001,1.0
4005,3001,1.0
4006,3001,1.0
4007,3001,1.0
4008,3001,1.0
4009,3001,1.0
4010,3001,1.0
4011,3001,1.0
4012,3001,1.0
4013,3001,1.0
4014,3001,1.0
4015,3001,1.0
4016,3001,1.0
4017,3001,1.0
4018,3001,1.0
4019,3001,1.0
4020,3001,1.0
4021,3001,1.0
4022,3001,1.0
4023,3001,1.0
4024,3001,1.0
4025,3001,1.0
4026,3001,1.0
4027,3001,1.0
4028,3001,1.0
4029,3001,1.0
4030,3001,1.0
4031,3001,1.0
4032,3001,1.0
4033,3001,1.0
4034,3001,1.0
4035,3001,1.0
4036,3001,1.0
4037,3001,1.0
4038,3001,1.0
4039,3001,1.0
4040,3001,1.0
4041,3001,1.0
4042,3001,1.0
4043,3001,1.0
4044,3001,1.0
4045,3001,1.0
4046,3001,1.0
4047,3001,1.0
4048,3001,1.0
4049,3001,1.0
4050,3001,1.0
