building_1,location_1,location_2,building_2,assignment
1001,2034,3034,4001,3.0
1001,2034,3034,4002,4.0
1001,2034,3034,4003,8.0
1001,2034,3034,4004,4.0
1001,2034,3034,4005,3.0
1001,2034,3034,4006,10.0
1001,2034,3034,4007,4.0
1001,2034,3034,4008,6.0
1001,2034,3034,4009,9.0
1001,2034,3034,4011,7.0
1001,2034,3034,4012,2.0
1001,2034,3034,4013,2.0
1001,2034,3034,4016,3.0
1001,2034,3034,4017,6.0
1001,2034,3034,4018,5.0
1001,2034,3034,4019,2.0
1001,2034,3034,4020,5.0
1001,2034,3034,4021,4.0
1001,2034,3034,4022,1.0
1001,2034,3034,4023,3.0
1001,2034,3034,4024,6.0
1001,2034,3034,4025,3.0
1001,2034,3034,4026,3.0
1001,2034,3034,4027,2.0
1001,2034,3034,4028,1.0
1001,2034,3034,4029,9.0
1001,2034,3034,4030,9.0
1001,2034,3034,4032,6.0
1001,2034,3034,4033,8.0
1001,2034,3034,4034,3.0
1001,2034,3034,4035,6.0
1001,2034,3034,4036,3.0
1001,2034,3034,4037,6.0
1001,2034,3034,4038,4.0
1001,2034,3034,4040,5.0
1001,2034,3034,4041,7.0
1001,2034,3034,4042,6.0
1001,2034,3034,4043,2.0
1001,2034,3034,4044,1.0
1001,2034,3034,4045,10.0
1001,2034,3034,4046,5.0
1001,2034,3034,4047,3.0
1001,2034,3034,4048,10.0
1001,2034,3034,4049,10.0
1002,2034,3034,4001,2.0
1002,2034,3034,4002,7.0
1002,2034,3034,4003,6.0
1002,2034,3034,4004,3.0
1002,2034,3034,4005,2.0
1002,2034,3034,4007,6.0
1002,2034,3034,4008,8.0
1002,2034,3034,4009,4.0
1002,2034,3034,4010,3.0
1002,2034,3034,4011,2.0
1002,2034,3034,4012,10.0
1002,2034,3034,4013,9.0
1002,2034,3034,4014,4.0
1002,2034,3034,4015,4.0
1002,2034,3034,4016,8.0
1002,2034,3034,4017,5.0
1002,2034,3034,4018,5.0
1002,2034,3034,4019,10.0
1002,2034,3034,4020,10.0
1002,2034,3034,4021,9.0
