building_1,location_1,assignment
1001,2049,1.0
1002,2049,1.0
1003,2049,1.0
1004,2049,1.0
1005,2049,1.0
1006,2049,1.0
1007,2049,1.0
1008,2049,1.0
1009,2049,1.0
1010,2049,1.0
1011,2049,1.0
1012,2049,1.0
1013,2049,1.0
1014,2049,1.0
1015,2049,1.0
1016,2049,1.0
1017,2049,1.0
1018,2049,1.0
1019,2049,1.0
1020,2049,1.0
1021,2049,1.0
1022,2049,1.0
1023,2049,1.0
1024,2049,1.0
1025,2049,1.0
1026,2049,1.0
1027,2049,1.0
1028,2049,1.0
1029,2049,1.0
1030,2049,1.0
1031,2049,1.0
1032,2049,1.0
1033,2049,1.0
1034,2049,1.0
1035,2049,1.0
1036,2049,1.0
1037,2049,1.0
1038,2049,1.0
1039,2049,1.0
1040,2049,1.0
1041,2049,1.0
1042,2049,1.0
1043,2049,1.0
1044,2049,1.0
1045,2049,1.0
1046,2049,1.0
1047,2049,1.0
1048,2049,1.0
1049,2049,1.0
1050,2049,1.0
