building_1,location_1,assignment
1001,2064,1.0
1002,2064,1.0
1003,2064,1.0
1004,2064,1.0
1005,2064,1.0
1006,2064,1.0
1007,2064,1.0
1008,2064,1.0
1009,2064,1.0
1010,2064,1.0
1011,2064,1.0
1012,2064,1.0
1013,2064,1.0
1014,2064,1.0
1015,2064,1.0
1016,2064,1.0
1017,2064,1.0
1018,2064,1.0
1019,2064,1.0
1020,2064,1.0
1021,2064,1.0
1022,2064,1.0
1023,2064,1.0
1024,2064,1.0
1025,2064,1.0
1026,2064,1.0
1027,2064,1.0
1028,2064,1.0
1029,2064,1.0
1030,2064,1.0
1031,2064,1.0
1032,2064,1.0
1033,2064,1.0
1034,2064,1.0
1035,2064,1.0
1036,2064,1.0
1037,2064,1.0
1038,2064,1.0
1039,2064,1.0
1040,2064,1.0
1041,2064,1.0
1042,2064,1.0
1043,2064,1.0
1044,2064,1.0
1045,2064,1.0
1046,2064,1.0
1047,2064,1.0
1048,2064,1.0
1049,2064,1.0
1050,2064,1.0
