link_id,from_node_id,to_node_id,built_cost,trans_cost,link_type,acting_link_id
1,1001,2001,1,0,2,1
2,1001,2002,2,0,2,2
3,1001,2003,3,0,2,3
4,1001,2004,4,0,2,4
5,1001,2005,5,0,2,5
6,1001,2006,6,0,2,6
7,1001,2007,7,0,2,7
8,1002,2001,7,0,2,8
9,1002,2002,6,0,2,9
10,1002,2003,5,0,2,10
11,1002,2004,4,0,2,11
12,1002,2005,3,0,2,12
13,1002,2006,2,0,2,13
14,1002,2007,1,0,2,14
15,1003,2001,1,0,2,15
16,1003,2002,2,0,2,16
17,1003,2003,3,0,2,17
18,1003,2004,4,0,2,18
19,1003,2005,5,0,2,19
20,1003,2006,6,0,2,20
21,1003,2007,7,0,2,21
22,1004,2001,7,0,2,22
23,1004,2002,6,0,2,23
24,1004,2003,5,0,2,24
25,1004,2004,4,0,2,25
26,1004,2005,3,0,2,26
27,1004,2006,2,0,2,27
28,1004,2007,1,0,2,28
29,1005,2001,1,0,2,29
30,1005,2002,2,0,2,30
31,1005,2003,3,0,2,31
32,1005,2004,4,0,2,32
33,1005,2005,5,0,2,33
34,1005,2006,6,0,2,34
35,1005,2007,7,0,2,35
36,1006,2001,7,0,2,36
37,1006,2002,6,0,2,37
38,1006,2003,5,0,2,38
39,1006,2004,4,0,2,39
40,1006,2005,3,0,2,40
41,1006,2006,2,0,2,41
42,1006,2007,1,0,2,42
43,1007,2001,1,0,2,43
44,1007,2002,2,0,2,44
45,1007,2003,3,0,2,45
46,1007,2004,4,0,2,46
47,1007,2005,5,0,2,47
48,1007,2006,6,0,2,48
49,1007,2007,7,0,2,49
50,3001,4001,7,0,3,50
51,3001,4002,6,0,3,51
52,3001,4003,5,0,3,52
53,3001,4004,4,0,3,53
54,3001,4005,3,0,3,54
55,3001,4006,2,0,3,55
56,3001,4007,1,0,3,56
57,3002,4001,1,0,3,57
58,3002,4002,2,0,3,58
59,3002,4003,3,0,3,59
60,3002,4004,4,0,3,60
61,3002,4005,5,0,3,61
62,3002,4006,6,0,3,62
63,3002,4007,7,0,3,63
64,3003,4001,7,0,3,64
65,3003,4002,6,0,3,65
66,3003,4003,5,0,3,66
67,3003,4004,4,0,3,67
68,3003,4005,3,0,3,68
69,3003,4006,2,0,3,69
70,3003,4007,1,0,3,70
71,3004,4001,1,0,3,71
72,3004,4002,2,0,3,72
73,3004,4003,3,0,3,73
74,3004,4004,4,0,3,74
75,3004,4005,5,0,3,75
76,3004,4006,6,0,3,76
77,3004,4007,7,0,3,77
78,3005,4001,7,0,3,78
79,3005,4002,6,0,3,79
80,3005,4003,5,0,3,80
81,3005,4004,4,0,3,81
82,3005,4005,3,0,3,82
83,3005,4006,2,0,3,83
84,3005,4007,1,0,3,84
85,3006,4001,1,0,3,85
86,3006,4002,2,0,3,86
87,3006,4003,3,0,3,87
88,3006,4004,4,0,3,88
89,3006,4005,5,0,3,89
90,3006,4006,6,0,3,90
91,3006,4007,7,0,3,91
92,3007,4001,7,0,3,92
93,3007,4002,6,0,3,93
94,3007,4003,5,0,3,94
95,3007,4004,4,0,3,95
96,3007,4005,3,0,3,96
97,3007,4006,2,0,3,97
98,3007,4007,1,0,3,98
99,2001,3001,0,30,1,99
100,2001,3002,0,35,1,100
101,2001,3003,0,71,1,101
102,2001,3004,0,99,1,102
103,2001,3005,0,71,1,103
104,2001,3006,0,75,1,104
105,2001,3007,0,41,1,105
106,2002,3001,0,35,1,106
107,2002,3002,0,28,1,107
108,2002,3003,0,42,1,108
109,2002,3004,0,80,1,109
110,2002,3005,0,65,1,110
111,2002,3006,0,82,1,111
112,2002,3007,0,47,1,112
113,2003,3001,0,71,1,113
114,2003,3002,0,42,1,114
115,2003,3003,0,34,1,115
116,2003,3004,0,45,1,116
117,2003,3005,0,49,1,117
118,2003,3006,0,79,1,118
119,2003,3007,0,55,1,119
120,2004,3001,0,99,1,120
121,2004,3002,0,80,1,121
122,2004,3003,0,45,1,122
123,2004,3004,0,34,1,123
124,2004,3005,0,36,1,124
125,2004,3006,0,65,1,125
126,2004,3007,0,65,1,126
127,2005,3001,0,71,1,127
128,2005,3002,0,65,1,128
129,2005,3003,0,49,1,129
130,2005,3004,0,36,1,130
131,2005,3005,0,34,1,131
132,2005,3006,0,31,1,132
133,2005,3007,0,32,1,133
134,2006,3001,0,75,1,134
135,2006,3002,0,82,1,135
136,2006,3003,0,79,1,136
137,2006,3004,0,65,1,137
138,2006,3005,0,31,1,138
139,2006,3006,0,44,1,139
140,2006,3007,0,36,1,140
141,2007,3001,0,41,1,141
142,2007,3002,0,47,1,142
143,2007,3003,0,55,1,143
144,2007,3004,0,65,1,144
145,2007,3005,0,32,1,145
146,2007,3006,0,36,1,146
147,2007,3007,0,25,1,147
