building_1,location_1,assignment
1001,2003,1.0
1002,2002,1.0
1003,2004,1.0
1004,2002,1.0
1005,2002,1.0
1006,2002,1.0
1007,2008,1.0
1008,2002,1.0
1009,2002,1.0
1010,2003,1.0
1011,2002,1.0
1012,2004,1.0
1013,2010,1.0
1014,2002,1.0
1015,2004,1.0
1016,2002,1.0
1017,2003,1.0
1018,2018,1.0
1019,2049,1.0
1020,2002,1.0
1021,2002,1.0
1022,2006,1.0
1023,2002,1.0
1024,2002,1.0
1025,2002,1.0
1026,2012,1.0
1027,2002,1.0
1028,2049,1.0
1029,2003,1.0
1030,2002,1.0
1031,2002,1.0
1032,2002,1.0
1033,2005,1.0
1034,2005,1.0
1035,2004,1.0
1036,2003,1.0
1037,2008,1.0
1038,2027,1.0
1039,2002,1.0
1040,2002,1.0
1041,2002,1.0
1042,2003,1.0
1043,2002,1.0
1044,2008,1.0
1045,2002,1.0
1046,2002,1.0
1047,2002,1.0
1048,2003,1.0
1049,2005,1.0
1050,2005,1.0
1051,2003,1.0
1052,2002,1.0
1053,2003,1.0
1054,2002,1.0
1055,2005,1.0
1056,2002,1.0
1057,2009,1.0
1058,2049,1.0
1059,2002,1.0
1060,2004,1.0
1061,2002,1.0
1062,2005,1.0
1063,2017,1.0
1064,2049,1.0
1065,2002,1.0
1066,2004,1.0
1067,2002,1.0
1068,2014,1.0
1069,2006,1.0
1070,2002,1.0
